#processed=recalibrated
#recalibration_method=auto
#sample=pure water, later delay time (synthetic example)
m/z,intensity
0.864527,0.0262566
0.864359,0.0537689
0.864191,0.0895728
0.864023,0.0501801
0.863857,0.0533305
0.863691,0.0810532
0.863526,0.0070000
0.863361,0.0282122
0.863198,0.0166797
0.863035,0.0509091
0.862872,0.0698016
0.862711,0.0673941
0.862550,0.0390041
0.862389,0.0538088
0.862230,0.0504249
0.862071,0.0452697
0.861913,0.0070000
0.861756,0.0070000
0.861599,0.0262392
0.861443,0.0070000
0.861287,0.0429176
0.861133,0.0251197
0.860979,0.0993702
0.860826,0.0728927
0.860673,0.0455244
0.860521,0.0710372
0.860370,0.0585257
0.860220,0.0081238
0.860070,0.0496165
0.859921,0.0160223
0.859773,0.0681661
0.859625,0.0523762
0.859478,0.0992864
0.859332,0.0721661
0.859187,0.0661752
0.859042,0.0516090
0.858898,0.0070000
0.858754,0.0174666
0.858612,0.0380644
0.858470,0.0290903
0.858328,0.0868832
0.858188,0.0635228
0.858048,0.0830115
0.857909,0.0886180
0.857770,0.0803303
0.857633,0.0439225
0.857496,0.0236571
0.857359,0.0121666
0.857224,0.0448183
0.857089,0.0480840
0.856954,0.0623016
0.856821,0.0935227
0.856688,0.0797732
0.856556,0.0480619
0.856424,0.0492956
0.856294,0.0486082
0.856164,0.0102784
0.856034,0.0251975
0.855906,0.0266955
0.855778,0.0294523
0.855650,0.0516540
0.855524,0.0479487
0.855398,0.0421414
0.855273,0.0397861
0.855149,0.0405430
0.855025,0.0107291
0.854902,0.0167381
0.854780,0.0305199
0.854658,0.0070000
0.854537,0.0497524
0.854417,0.0558242
0.854297,0.0820501
0.854178,0.0085139
0.854060,0.0404906
0.853943,0.0504251
0.853826,0.0088842
0.853710,0.0070000
0.853595,0.0186074
0.853480,0.0466666
0.853367,0.0408811
0.853253,0.0567510
0.853141,0.0652154
0.853029,0.0640903
0.852918,0.0562409
0.852808,0.0342597
0.852698,0.0183591
0.852589,0.0088660
0.852481,0.0070000
0.852373,0.0188093
0.852266,0.0539719
0.852160,0.0566214
0.852055,0.0445260
0.851950,0.0591794
0.851846,0.0582833
0.851743,0.0261790
0.851640,0.0072966
0.851538,0.0070000
0.851437,0.0720415
0.851336,0.0510561
0.851236,0.0765636
0.851137,0.0654846
0.851039,0.0701964
0.850941,0.0622123
0.850844,0.0414105
0.850748,0.0288723
0.850652,0.0070000
0.850557,0.0456731
0.850463,0.0380867
0.850370,0.0503471
0.850277,0.0822449
0.850185,0.0556907
0.850093,0.0570291
0.850002,0.0381603
0.849912,0.0526700
0.849823,0.0426078
0.849735,0.0158571
0.849647,0.0085622
0.849560,0.0506572
0.849473,0.0403948
0.849387,0.0424560
0.849302,0.0443756
0.849218,0.0597041
0.849134,0.0457699
0.849051,0.0420585
0.848969,0.0070000
0.848887,0.0292825
0.848806,0.0427361
0.848726,0.0523013
0.848647,0.0279421
0.848568,0.0476063
0.848490,0.0623191
0.848413,0.0258621
0.848336,0.0408006
0.848260,0.0449088
0.848185,0.0128200
0.848110,0.0377538
0.848036,0.0387263
0.847963,0.0516928
0.847891,0.0584572
0.847819,0.0390300
0.847748,0.0136544
0.847678,0.0553748
0.847608,0.0070000
0.847539,0.0182776
0.847471,0.0129232
0.847403,0.0195579
0.847336,0.0347373
0.847270,0.0401184
0.847205,0.0617184
0.847140,0.0423536
0.847076,0.0177712
0.847013,0.0271332
0.846950,0.0431396
0.846888,0.0089229
0.846827,0.0262885
0.846767,0.0289721
0.846707,0.0346214
0.846648,0.0512578
0.846589,0.0618313
0.846532,0.0666013
0.846475,0.0229948
0.846418,0.0466773
0.846363,0.0208407
0.846308,0.0101897
0.846254,0.0184779
0.846200,0.0436730
0.846148,0.0488869
0.846096,0.0665700
0.846044,0.0820660
0.845993,0.0441732
0.845944,0.0500654
0.845894,0.0269095
0.845846,0.0070000
0.845798,0.0070000
0.845751,0.0070000
0.845704,0.0344812
0.845658,0.0340453
0.845613,0.0710962
0.845569,0.0274385
0.845525,0.0638360
0.845482,0.0165675
0.845440,0.0483259
0.845399,0.0070000
0.845358,0.0221274
0.845318,0.0192564
0.845278,0.0292346
0.845240,0.0670202
0.845202,0.0070000
0.845164,0.0277525
0.845128,0.0655310
0.845092,0.0135038
0.845057,0.0253322
0.845022,0.0070000
0.844988,0.0070000
0.844955,0.0193842
0.844923,0.0384294
0.844891,0.0534512
0.844860,0.0366720
0.844830,0.0378087
0.844800,0.0284210
0.844771,0.0287631
0.844743,0.0095214
0.844716,0.0250033
0.844689,0.0070000
0.844663,0.0383447
0.844637,0.0377942
0.844613,0.0286812
0.844589,0.0216185
0.844565,0.0600373
0.844543,0.0154928
0.844521,0.0143480
0.844500,0.0264126
0.844479,0.0226656
0.844460,0.0217723
0.844440,0.0167545
0.844422,0.0363955
0.844404,0.0304260
0.844388,0.0496229
0.844371,0.0521269
0.844356,0.0558925
0.844341,0.0492541
0.844327,0.0475410
0.844313,0.0070000
0.844301,0.0144972
0.844289,0.0241202
0.844277,0.0493421
0.844267,0.0679014
0.844257,0.0505344
0.844247,0.0602431
0.844239,0.0330806
0.844231,0.0098195
0.844224,0.0070000
0.844218,0.0080217
0.844212,0.0070000
0.844207,0.0373069
0.844202,0.0457552
0.844199,0.0562773
0.844196,0.0471735
0.844194,0.0454933
0.844192,0.0272522
0.844191,0.0164289
0.844191,0.0070000
0.844192,0.0210199
0.844193,0.0472006
0.844195,0.0268015
0.844198,0.0408574
0.844201,0.0374037
0.844206,0.0267995
0.844210,0.0245524
0.844216,0.0382145
0.844222,0.0199479
0.844229,0.0177669
0.844237,0.0280448
0.844245,0.0546801
0.844254,0.0656798
0.844264,0.0351217
0.844274,0.0421157
0.844285,0.0324111
0.844297,0.0303597
0.844310,0.0127891
0.844323,0.0208118
0.844337,0.0235687
0.844352,0.0294470
0.844367,0.0321251
0.844383,0.0480748
0.844400,0.0354676
0.844417,0.0420149
0.844436,0.0473400
0.844454,0.0352039
0.844474,0.0134203
0.844494,0.0255488
0.844515,0.0070000
0.844537,0.0302574
0.844559,0.0352778
0.844582,0.0550679
0.844606,0.0653595
0.844631,0.0400438
0.844656,0.0445794
0.844682,0.0179822
0.844708,0.0224576
0.844736,0.0070000
0.844764,0.0191817
0.844792,0.0382499
0.844822,0.0416044
0.844852,0.0469639
0.844883,0.0266326
0.844914,0.0210039
0.844946,0.0214333
0.844979,0.0322837
0.845013,0.0079280
0.845047,0.0159367
0.845082,0.0126351
0.845118,0.0176478
0.845154,0.0503402
0.845192,0.0391977
0.845229,0.0278396
0.845268,0.0387545
0.845307,0.0430498
0.845347,0.0163227
0.845388,0.0255865
0.845429,0.0070000
0.845471,0.0107283
0.845514,0.0253523
0.845557,0.0423698
0.845602,0.0395822
0.845646,0.0447076
0.845692,0.0485267
0.845738,0.0116265
0.845785,0.0226535
0.845833,0.0236575
0.845881,0.0213281
0.845930,0.0187747
0.845980,0.0298519
0.846031,0.0334015
0.846082,0.0407170
0.846134,0.0284835
0.846186,0.0346460
0.846240,0.0070000
0.846293,0.0210911
0.846348,0.0070000
0.846404,0.0070000
0.846460,0.0267311
0.846516,0.0438894
0.846574,0.0466533
0.846632,0.0318744
0.846691,0.0279904
0.846751,0.0372171
0.846811,0.0313567
0.846872,0.0228691
0.846934,0.0070000
0.846996,0.0070000
0.847059,0.0281758
0.847123,0.0242125
0.847188,0.0316574
0.847253,0.0494824
0.847319,0.0351481
0.847385,0.0293292
0.847453,0.0211072
0.847521,0.0146165
0.847590,0.0138077
0.847659,0.0317556
0.847729,0.0160677
0.847800,0.0471833
0.847872,0.0363432
0.847944,0.0328018
0.848017,0.0328559
0.848090,0.0451358
0.848165,0.0228671
0.848240,0.0070000
0.848316,0.0070000
0.848392,0.0128589
0.848469,0.0355545
0.848547,0.0434632
0.848626,0.0182248
0.848705,0.0368324
0.848785,0.0285864
0.848866,0.0239028
0.848947,0.0221711
0.849029,0.0070000
0.849112,0.0232483
0.849195,0.0175242
0.849280,0.0214003
0.849364,0.0423684
0.849450,0.0249771
0.849536,0.0361402
0.849623,0.0327061
0.849711,0.0242441
0.849800,0.0194761
0.849889,0.0103182
0.849978,0.0074057
0.850069,0.0379774
0.850160,0.0329272
0.850252,0.0247157
0.850345,0.0427110
0.850438,0.0434712
0.850532,0.0269107
0.850627,0.0260229
0.850722,0.0086974
0.850818,0.0169155
0.850915,0.0196908
0.851013,0.0236331
0.851111,0.0426265
0.851210,0.0442818
0.851310,0.0370877
0.851410,0.0320296
0.851511,0.0188746
0.851613,0.0177976
0.851715,0.0166448
0.851818,0.0215913
0.851922,0.0412214
0.852027,0.0377886
0.852132,0.0181498
0.852238,0.0301579
0.852345,0.0325927
0.852452,0.0237500
0.852560,0.0259595
0.852669,0.0237222
0.852778,0.0179226
0.852889,0.0119199
0.852999,0.0242106
0.853111,0.0290242
0.853223,0.0354504
0.853336,0.0312443
0.853450,0.0278403
0.853564,0.0257031
0.853680,0.0348301
0.853795,0.0215424
0.853912,0.0094857
0.854029,0.0086774
0.854147,0.0222569
0.854266,0.0396841
0.854385,0.0346552
0.854505,0.0336302
0.854626,0.0330868
0.854747,0.0390869
0.854869,0.0174874
0.854992,0.0070000
0.855116,0.0124874
0.855240,0.0214824
0.855365,0.0167336
0.855490,0.0352623
0.855617,0.0346668
0.855744,0.0136704
0.855871,0.0169543
0.856000,0.0211631
0.856129,0.0123381
0.856259,0.0070000
0.856389,0.0263303
0.856521,0.0240662
0.856653,0.0300945
0.856785,0.0341107
0.856919,0.0288077
0.857053,0.0426273
0.857187,0.0189108
0.857323,0.0227283
0.857459,0.0070000
0.857596,0.0093273
0.857734,0.0190867
0.857872,0.0371572
0.858011,0.0284160
0.858151,0.0204014
0.858291,0.0339546
0.858432,0.0261490
0.858574,0.0408735
0.858716,0.0340536
0.858859,0.0252008
0.859003,0.0109643
0.859148,0.0117096
0.859293,0.0268606
0.859439,0.0316726
0.859586,0.0348724
0.859733,0.0470155
0.859882,0.0349303
0.860030,0.0346097
0.860180,0.0121086
0.860330,0.0224587
0.860481,0.0070000
0.860633,0.0158085
0.860785,0.0282935
0.860938,0.0441343
0.861092,0.0262449
0.861246,0.0288630
0.861401,0.0360001
0.861557,0.0120133
0.861714,0.0256962
0.861871,0.0229032
0.862029,0.0070000
0.862187,0.0280802
0.862347,0.0234551
0.862507,0.0307136
0.862668,0.0327459
0.862829,0.0289659
0.862991,0.0266421
0.863154,0.0288643
0.863318,0.0207674
0.863482,0.0070000
0.863647,0.0171938
0.863813,0.0093398
0.863979,0.0319411
0.864146,0.0441697
0.864314,0.0225615
0.864482,0.0289316
0.864652,0.0350497
0.864821,0.0195724
0.864992,0.0172829
0.865163,0.0100415
0.865335,0.0315426
0.865508,0.0214312
0.865681,0.0268483
0.865855,0.0352796
0.866030,0.0225262
0.866206,0.0341669
0.866382,0.0171619
0.866559,0.0202746
0.866737,0.0155044
0.866915,0.0301948
0.867094,0.0111150
0.867274,0.0128614
0.867454,0.0241712
0.867635,0.0341062
0.867817,0.0409772
0.867999,0.0300561
0.868183,0.0205432
0.868367,0.0141461
0.868551,0.0119139
0.868737,0.0240770
0.868923,0.0134760
0.869109,0.0342349
0.869297,0.0327469
0.869485,0.0215778
0.869674,0.0303778
0.869863,0.0191331
0.870054,0.0167556
0.870245,0.0248885
0.870436,0.0165920
0.870629,0.0093323
0.870822,0.0265328
0.871016,0.0297693
0.871210,0.0219851
0.871405,0.0457112
0.871601,0.0298933
0.871798,0.0216176
0.871995,0.0183784
0.872193,0.0151237
0.872392,0.0070000
0.872591,0.0119079
0.872791,0.0199957
0.872992,0.0272670
0.873193,0.0303617
0.873396,0.0215489
0.873598,0.0168207
0.873802,0.0198546
0.874006,0.0108336
0.874211,0.0070000
0.874417,0.0070000
0.874623,0.0258968
0.874831,0.0256980
0.875038,0.0162328
0.875247,0.0213746
0.875456,0.0341478
0.875666,0.0186145
0.875877,0.0278904
0.876088,0.0114179
0.876300,0.0070000
0.876513,0.0140286
0.876726,0.0191595
0.876940,0.0205841
0.877155,0.0283600
0.877371,0.0349503
0.877587,0.0303585
0.877804,0.0227993
0.878022,0.0141950
0.878240,0.0222106
0.878459,0.0128829
0.878679,0.0204545
0.878899,0.0239759
0.879120,0.0210624
0.879342,0.0327565
0.879565,0.0290519
0.879788,0.0270622
0.880012,0.0154537
0.880237,0.0176991
0.880462,0.0129809
0.880688,0.0080949
0.880915,0.0199759
0.881142,0.0126442
0.881371,0.0177034
0.881599,0.0223414
0.881829,0.0200541
0.882059,0.0239923
0.882290,0.0232106
0.882522,0.0117383
0.882754,0.0111397
0.882988,0.0223623
0.883221,0.0135690
0.883456,0.0288228
0.883691,0.0268873
0.883927,0.0179238
0.884164,0.0195523
0.884401,0.0182694
0.884639,0.0158255
0.884878,0.0132070
0.885117,0.0129724
0.885357,0.0196861
0.885598,0.0250783
0.885840,0.0227888
0.886082,0.0251076
0.886325,0.0261273
0.886568,0.0209929
0.886813,0.0211461
0.887058,0.0114707
0.887304,0.0153761
0.887550,0.0070000
0.887797,0.0149600
0.888045,0.0212107
0.888294,0.0163170
0.888543,0.0205907
0.888793,0.0200760
0.889043,0.0167571
0.889295,0.0199621
0.889547,0.0164179
0.889800,0.0116114
0.890053,0.0070000
0.890307,0.0142684
0.890562,0.0221347
0.890818,0.0258280
0.891074,0.0299527
0.891331,0.0192006
0.891589,0.0212406
0.891847,0.0207089
0.892106,0.0161129
0.892366,0.0125325
0.892626,0.0071147
0.892888,0.0180275
0.893150,0.0143114
0.893412,0.0224654
0.893675,0.0189957
0.893939,0.0269071
0.894204,0.0232980
0.894470,0.0189083
0.894736,0.0164813
0.895003,0.0118676
0.895270,0.0107181
0.895538,0.0195795
0.895807,0.0213236
0.896077,0.0144290
0.896347,0.0259069
0.896618,0.0251539
0.896890,0.0256396
0.897162,0.0230017
0.897436,0.0105181
0.897709,0.0070000
0.897984,0.0070000
0.898259,0.0239915
0.898535,0.0207710
0.898812,0.0278146
0.899089,0.0203259
0.899367,0.0263216
0.899646,0.0231790
0.899925,0.0072211
0.900206,0.0160975
0.900486,0.0097021
0.900768,0.0149907
0.901050,0.0184795
0.901333,0.0183041
0.901617,0.0139891
0.901901,0.0228468
0.902186,0.0277279
0.902472,0.0223844
0.902759,0.0181633
0.903046,0.0070000
0.903334,0.0154325
0.903622,0.0148069
0.903912,0.0167408
0.904202,0.0205930
0.904492,0.0261727
0.904784,0.0162203
0.905076,0.0147556
0.905369,0.0123926
0.905662,0.0118768
0.905956,0.0127472
0.906251,0.0107443
0.906547,0.0271674
0.906843,0.0197950
0.907140,0.0232238
0.907438,0.0199020
0.907736,0.0242230
0.908035,0.0187653
0.908335,0.0211329
0.908636,0.0111314
0.908937,0.0105105
0.909239,0.0175226
0.909542,0.0148710
0.909845,0.0208480
0.910149,0.0241738
0.910454,0.0149545
0.910759,0.0297886
0.911065,0.0176603
0.911372,0.0158633
0.911680,0.0070000
0.911988,0.0136003
0.912297,0.0142469
0.912607,0.0172215
0.912917,0.0155223
0.913228,0.0208532
0.913540,0.0229395
0.913852,0.0146401
0.914166,0.0106146
0.914479,0.0118730
0.914794,0.0070000
0.915109,0.0142436
0.915425,0.0090337
0.915742,0.0250547
0.916059,0.0241994
0.916377,0.0220465
0.916696,0.0201676
0.917016,0.0245436
0.917336,0.0119864
0.917657,0.0101869
0.917978,0.0090026
0.918301,0.0133921
0.918624,0.0138905
0.918948,0.0185902
0.919272,0.0129929
0.919597,0.0206677
0.919923,0.0189347
0.920249,0.0230006
0.920577,0.0114791
0.920905,0.0230019
0.921233,0.0132431
0.921563,0.0074124
0.921893,0.0095785
0.922223,0.0202643
0.922555,0.0196100
0.922887,0.0239109
0.923220,0.0215884
0.923553,0.0148809
0.923887,0.0087359
0.924222,0.0133520
0.924558,0.0126887
0.924894,0.0161805
0.925232,0.0266637
0.925569,0.0243934
0.925908,0.0203614
0.926247,0.0263781
0.926587,0.0118728
0.926927,0.0248073
0.927269,0.0070000
0.927611,0.0075584
0.927953,0.0119260
0.928297,0.0159067
0.928641,0.0180423
0.928986,0.0274441
0.929331,0.0179446
0.929677,0.0176191
0.930024,0.0268156
0.930372,0.0175775
0.930720,0.0209951
0.931069,0.0077732
0.931419,0.0101402
0.931769,0.0169178
0.932120,0.0140167
0.932472,0.0207614
0.932825,0.0203354
0.933178,0.0142556
0.933532,0.0235373
0.933886,0.0147568
0.934242,0.0099719
0.934598,0.0163322
0.934954,0.0135239
0.935312,0.0109869
0.935670,0.0256434
0.936029,0.0157521
0.936388,0.0199281
0.936748,0.0162485
0.937109,0.0239072
0.937471,0.0147660
0.937833,0.0132446
0.938196,0.0114438
0.938560,0.0157361
0.938925,0.0140410
0.939290,0.0205068
0.939656,0.0218610
0.940022,0.0178988
0.940390,0.0143020
0.940757,0.0153796
0.941126,0.0164431
0.941496,0.0109413
0.941866,0.0151474
0.942236,0.0135291
0.942608,0.0169710
0.942980,0.0158336
0.943353,0.0250627
0.943726,0.0209890
0.944101,0.0213249
0.944476,0.0157446
0.944851,0.0103521
0.945228,0.0070000
0.945605,0.0091771
0.945983,0.0223819
0.946361,0.0179145
0.946740,0.0085057
0.947120,0.0158713
0.947501,0.0147023
0.947882,0.0161818
0.948264,0.0175017
0.948647,0.0070000
0.949030,0.0143639
0.949414,0.0172994
0.949799,0.0096865
0.950185,0.0201035
0.950571,0.0275766
0.950958,0.0182138
0.951346,0.0201654
0.951734,0.0152838
0.952123,0.0139849
0.952513,0.0101575
0.952903,0.0104313
0.953294,0.0137615
0.953686,0.0070519
0.954079,0.0148503
0.954472,0.0175376
0.954866,0.0205859
0.955261,0.0162592
0.955656,0.0144895
0.956052,0.0192125
0.956449,0.0076376
0.956846,0.0147188
0.957244,0.0094448
0.957643,0.0142293
0.958043,0.0185830
0.958443,0.0176537
0.958844,0.0223417
0.959246,0.0158084
0.959648,0.0128796
0.960051,0.0130236
0.960455,0.0120311
0.960859,0.0086467
0.961265,0.0188271
0.961671,0.0185439
0.962077,0.0255273
0.962484,0.0181671
0.962892,0.0119433
0.963301,0.0146572
0.963711,0.0102375
0.964121,0.0118772
0.964532,0.0103611
0.964943,0.0164780
0.965355,0.0110866
0.965768,0.0216721
0.966182,0.0136568
0.966596,0.0185480
0.967011,0.0147535
0.967427,0.0148904
0.967843,0.0070000
0.968260,0.0126524
0.968678,0.0070000
0.969097,0.0111528
0.969516,0.0110167
0.969936,0.0189440
0.970357,0.0162151
0.970778,0.0192947
0.971200,0.0179379
0.971623,0.0139361
0.972046,0.0124888
0.972470,0.0157981
0.972895,0.0162380
0.973321,0.0152497
0.973747,0.0157525
0.974174,0.0154397
0.974602,0.0191765
0.975030,0.0170443
0.975459,0.0185452
0.975889,0.0070000
0.976319,0.0110550
0.976751,0.0079332
0.977182,0.0109103
0.977615,0.0128755
0.978048,0.0144259
0.978482,0.0168720
0.978917,0.0214248
0.979352,0.0243530
0.979788,0.0141915
0.980225,0.0148164
0.980663,0.0099208
0.981101,0.0108863
0.981540,0.0142729
0.981980,0.0115331
0.982420,0.0227137
0.982861,0.0116211
0.983303,0.0170309
0.983745,0.0188210
0.984188,0.0155768
0.984632,0.0143706
0.985076,0.0096362
0.985522,0.0109073
0.985968,0.0162238
0.986414,0.0159308
0.986862,0.0190445
0.987310,0.0150120
0.987758,0.0138184
0.988208,0.0105656
0.988658,0.0179089
0.989109,0.0135942
0.989560,0.0070000
0.990013,0.0070000
0.990466,0.0143720
0.990919,0.0138182
0.991374,0.0137112
0.991829,0.0183341
0.992284,0.0168079
0.992741,0.0163231
0.993198,0.0089800
0.993656,0.0077139
0.994114,0.0070000
0.994574,0.0130692
0.995034,0.0136135
0.995494,0.0114926
0.995956,0.0203350
0.996418,0.0152985
0.996881,0.0133304
0.997344,0.0149430
0.997808,0.0087259
0.998273,0.0104005
0.998739,0.0107005
0.999205,0.0126937
0.999672,0.0131182
1.000140,0.0138008
1.000608,0.0148120
1.001077,0.0156075
1.001547,0.0157550
1.002018,0.0122489
1.002489,0.0122475
1.002961,0.0070000
1.003433,0.0098820
1.003907,0.0112306
1.004381,0.0112131
1.004856,0.0159397
1.005331,0.0189076
1.005807,0.0176221
1.006284,0.0135182
1.006761,0.0165307
1.007240,0.0074337
1.007719,0.0070000
1.008198,0.0093446
1.008679,0.0139913
1.009160,0.0149426
1.009641,0.0144703
1.010124,0.0157908
1.010607,0.0146297
1.011091,0.0145388
1.011575,0.0112377
1.012061,0.0070000
1.012547,0.0071148
1.013033,0.0117202
1.013521,0.0107389
1.014009,0.0156834
1.014498,0.0225598
1.014987,0.0167400
1.015477,0.0125823
1.015968,0.0140933
1.016460,0.0080423
1.016952,0.0070000
1.017445,0.0100409
1.017939,0.0146103
1.018433,0.0174306
1.018928,0.0177063
1.019424,0.0186788
1.019920,0.0168974
1.020418,0.0119470
1.020916,0.0131129
1.021414,0.0108751
1.021914,0.0114487
1.022414,0.0117360
1.022914,0.0156665
1.023416,0.0155647
1.023918,0.0157842
1.024421,0.0170755
1.024924,0.0157816
1.025428,0.0152092
1.025933,0.0173483
1.026439,0.0167839
1.026945,0.0086755
1.027452,0.0097627
1.027960,0.0147286
1.028469,0.0119645
1.028978,0.0177422
1.029488,0.0128683
1.029998,0.0200585
1.030509,0.0133819
1.031021,0.0130488
1.031534,0.0070000
1.032047,0.0112274
1.032561,0.0115884
1.033076,0.0109607
1.033592,0.0135458
1.034108,0.0145249
1.034625,0.0133303
1.035142,0.0152645
1.035660,0.0125471
1.036179,0.0138174
1.036699,0.0114469
1.037220,0.0101936
1.037741,0.0137836
1.038262,0.0124385
1.038785,0.0137115
1.039308,0.0141136
1.039832,0.0164976
1.040357,0.0147934
1.040882,0.0112162
1.041408,0.0072418
1.041935,0.0070000
1.042462,0.0083216
1.042990,0.0134784
1.043519,0.0113199
1.044048,0.0159865
1.044579,0.0160263
1.045110,0.0180067
1.045641,0.0162605
1.046174,0.0148638
1.046707,0.0124624
1.047240,0.0079762
1.047775,0.0097624
1.048310,0.0119016
1.048846,0.0113162
1.049382,0.0115983
1.049919,0.0172796
1.050457,0.0173745
1.050996,0.0121930
1.051535,0.0137998
1.052075,0.0095766
1.052616,0.0104721
1.053158,0.0107290
1.053700,0.0135096
1.054243,0.0105863
1.054786,0.0144776
1.055331,0.0166936
1.055875,0.0108040
1.056421,0.0125526
1.056968,0.0105241
1.057515,0.0070000
1.058062,0.0116164
1.058611,0.0139271
1.059160,0.0161414
1.059710,0.0121927
1.060261,0.0149473
1.060812,0.0170679
1.061364,0.0134535
1.061917,0.0131111
1.062470,0.0130694
1.063024,0.0070000
1.063579,0.0117800
1.064134,0.0113147
1.064691,0.0138155
1.065247,0.0125125
1.065805,0.0131901
1.066363,0.0138443
1.066922,0.0133579
1.067482,0.0086189
1.068043,0.0070000
1.068604,0.0092090
1.069165,0.0109741
1.069728,0.0139934
1.070291,0.0127103
1.070855,0.0111407
1.071420,0.0119759
1.071985,0.0107531
1.072551,0.0104098
1.073118,0.0089265
1.073685,0.0094858
1.074254,0.0085298
1.074822,0.0133338
1.075392,0.0107940
1.075962,0.0113352
1.076533,0.0091275
1.077105,0.0136715
1.077677,0.0142517
1.078250,0.0100290
1.078824,0.0134708
1.079398,0.0094584
1.079974,0.0070000
1.080550,0.0107281
1.081126,0.0106562
1.081703,0.0099431
1.082281,0.0128449
1.082860,0.0173974
1.083439,0.0119408
1.084020,0.0070000
1.084600,0.0077538
1.085182,0.0070000
1.085764,0.0099178
1.086347,0.0127003
1.086930,0.0173442
1.087515,0.0138189
1.088100,0.0128446
1.088685,0.0133193
1.089272,0.0094204
1.089859,0.0125611
1.090447,0.0094203
1.091035,0.0092847
1.091625,0.0086728
1.092214,0.0110100
1.092805,0.0102673
1.093396,0.0128777
1.093988,0.0112287
1.094581,0.0122522
1.095175,0.0118676
1.095769,0.0096659
1.096364,0.0081351
1.096959,0.0084749
1.097555,0.0081543
1.098152,0.0152418
1.098750,0.0139480
1.099348,0.0119791
1.099947,0.0136399
1.100547,0.0129380
1.101148,0.0079585
1.101749,0.0129229
1.102351,0.0082244
1.102953,0.0107039
1.103556,0.0130788
1.104160,0.0147322
1.104765,0.0121418
1.105370,0.0125774
1.105977,0.0141647
